

# Data from male_chn
"AverageAge"	"P1"	"P2"
85	0.0441657795262871	0.0663145233722754
86	0.0470086482345778	0.0672413021226186
87	0.0470086482345778	0.0672413021226186
88	0.0470086482345778	0.0672413021226186
89	0.0470086482345778	0.0672413021226186
90	0.0470086482345778	0.0672413021226186


# Data from male_mal
"AverageAge"	"P1"	"P2"
26	0.0132509334165027	0
27	0.0132509334165027	0
28	0.0132509334165027	0
29	0.0132509334165027	0
30	0.0132509334165027	0
31	0.0146609985318345	0.0120789905731952
32	0.0146609985318345	0.0120789905731952
33	0.0146609985318345	0.0120789905731952
34	0.0146609985318345	0.0120789905731952
35	0.0146609985318345	0.0120789905731952
36	0.0174096370090534	0.0246838398152503
37	0.0174096370090534	0.0246838398152503
38	0.0174096370090534	0.0246838398152503
39	0.0174096370090534	0.0246838398152503
40	0.0174096370090534	0.0246838398152503
41	0.0212933223863626	0.0301757084944099
42	0.0212933223863626	0.0301757084944099
43	0.0212933223863626	0.0301757084944099
44	0.0212933223863626	0.0301757084944099
45	0.0212933223863626	0.0301757084944099
46	0.0273530153286954	0.0532084485751674
47	0.0273530153286954	0.0532084485751674
48	0.0273530153286954	0.0532084485751674
49	0.0273530153286954	0.0532084485751674
50	0.0273530153286954	0.0532084485751674
51	0.0343830921578552	0.0813577380099884
52	0.0343830921578552	0.0813577380099884
53	0.0343830921578552	0.0813577380099884
54	0.0343830921578552	0.0813577380099884
55	0.0343830921578552	0.0813577380099884
56	0.0408383295671059	0.0969802257166967
57	0.0408383295671059	0.0969802257166967
58	0.0408383295671059	0.0969802257166967
59	0.0408383295671059	0.0969802257166967
60	0.0408383295671059	0.0969802257166967
61	0.0467313686584337	0.10601845535588
62	0.0467313686584337	0.10601845535588
63	0.0467313686584337	0.10601845535588
64	0.0467313686584337	0.10601845535588
65	0.0467313686584337	0.10601845535588
66	0.0522347966974138	0.111727301367404
67	0.0522347966974138	0.111727301367404
68	0.0522347966974138	0.111727301367404
69	0.0522347966974138	0.111727301367404
70	0.0522347966974138	0.111727301367404
71	0.0581388946404091	0.115810752554448
72	0.0581388946404091	0.115810752554448
73	0.0581388946404091	0.115810752554448
74	0.0581388946404091	0.115810752554448
75	0.0581388946404091	0.115810752554448
76	0.0647563748307159	0.118921657209532
77	0.0647563748307159	0.118921657209532
78	0.0647563748307159	0.118921657209532
79	0.0647563748307159	0.118921657209532
80	0.0647563748307159	0.118921657209532
81	0.0722561771673275	0.121370487036109
82	0.0722561771673275	0.121370487036109
83	0.0722561771673275	0.121370487036109
84	0.0722561771673275	0.121370487036109
85	0.0722561771673275	0.121370487036109
86	0.0808616147791013	0.123348272157455
87	0.0808616147791013	0.123348272157455
88	0.0808616147791013	0.123348272157455
89	0.0808616147791013	0.123348272157455
90	0.0808616147791013	0.123348272157455


# Data from female_mal
"AverageAge"	"P1"	"P2"
26	0.0297500472865404	0.0526000073132381
27	0.0297500472865404	0.0526000073132381
28	0.0297500472865404	0.0526000073132381
29	0.0297500472865404	0.0526000073132381
30	0.0297500472865404	0.0526000073132381
31	0.0313145871480261	0.046531706536199
32	0.0313145871480261	0.046531706536199
