sim_year,agent_gender,agent_race,albumin_scenario,eGFR_stage,age_group,mortality_rate
1990,female,chinese,3,1,45-49,0.0023998175043722907
1990,female,chinese,3,2,45-49,0.0023998175043722907
1990,female,chinese,3,3.1,45-49,0.002879781005246749
1990,female,chinese,3,1,5-9,0.0001
1990,female,chinese,3,2,5-9,0.0001
1990,female,chinese,3,1,50-54,0.004196085077535801
1990,female,chinese,3,2,50-54,0.004196085077535801
1990,female,chinese,3,3.1,50-54,0.0050353020930429615
1990,female,chinese,3,3.2,50-54,0.007552953139564443
1990,female,chinese,3,1,55-59,0.00738273483465206
1990,female,chinese,3,2,55-59,0.00738273483465206
1990,female,chinese,3,3.1,55-59,0.008859281801582472
1990,female,chinese,3,3.2,55-59,0.01328892270237371
1990,female,chinese,3,1,60-64,0.010818230531078827
1990,female,chinese,3,2,60-64,0.010818230531078827
1990,female,chinese,3,3.1,60-64,0.012981876637294592
1990,female,chinese,3,3.2,60-64,0.01947281495594189
1990,female,chinese,3,4,60-64,0.034618337699452245
1990,female,chinese,3,1,65-69,0.01817811380819737
1990,female,chinese,3,2,65-69,0.01817811380819737
1990,female,chinese,3,3.1,65-69,0.021813736569836845
1990,female,chinese,3,3.2,65-69,0.03272060485475527
1990,female,chinese,3,5,65-69,0.1072508714683645
1990,female,chinese,3,1,70-74,0.029797065106343456
1990,female,chinese,3,2,70-74,0.029797065106343456
1990,female,chinese,3,3.1,70-74,0.03575647812761215
1990,female,chinese,3,3.2,70-74,0.05363471719141822
1990,female,chinese,3,4,70-74,0.09535060834029907
1990,female,chinese,3,5,70-74,0.17580268412742642
1990,female,chinese,3,1,75-79,0.04301620763912493
1990,female,chinese,3,2,75-79,0.04301620763912493
1990,female,chinese,3,3.1,75-79,0.05161944916694991
1990,female,chinese,3,3.2,75-79,0.07742917375042488
1990,female,chinese,3,4,75-79,0.13765186444519978
1990,female,chinese,3,5,75-79,0.2537956250708371
1990,female,chinese,3,1,80-84,0.07321735431731168
1990,female,chinese,3,2,80-84,0.07321735431731168
1990,female,chinese,3,3.1,80-84,0.08786082518077401
1990,female,chinese,3,3.2,80-84,0.13179123777116103
1990,female,chinese,3,4,80-84,0.23429553381539736
1990,female,chinese,3,5,80-84,0.43198239047213893
1990,female,chinese,3,1,85+,0.12433284989122552
1990,female,chinese,3,2,85+,0.12433284989122552
1990,female,chinese,3,3.1,85+,0.1491994198694706
1990,female,chinese,3,3.2,85+,0.22379912980420597
1990,female,chinese,3,4,85+,0.39786511965192173
1990,female,chinese,4,1,0,0.0062
1990,female,chinese,4,1,1-4,0.0002
1990,female,chinese,4,2,1-4,0.0002
1990,female,chinese,4,1,10-14,0.0002
1990,female,chinese,4,2,10-14,0.0002
1990,female,chinese,4,1,15-19,0.0002
1990,female,chinese,4,2,15-19,0.0002
1990,female,chinese,4,1,20-24,0.0004
1990,female,chinese,4,2,20-24,0.0004
1990,female,chinese,4,1,25-29,0.0004
1990,female,chinese,4,2,25-29,0.0004
1990,female,chinese,4,1,30-34,0.0006
1990,female,chinese,4,2,30-34,0.0006
1990,female,chinese,4,1,35-39,0.001
1990,female,chinese,4,2,35-39,0.001
1990,female,chinese,4,1,40-44,0.0013999326955434833
1990,female,chinese,4,2,40-44,0.0013999326955434833
1990,female,chinese,4,3.1,40-44,0.0016799192346521798
1990,female,chinese,4,1,45-49,0.002399270183974456
1990,female,chinese,4,2,45-49,0.002399270183974456
1990,female,chinese,4,3.1,45-49,0.002879124220769347
1990,female,chinese,4,1,5-9,0.0001
1990,female,chinese,4,2,5-9,0.0001
1990,female,chinese,4,1,50-54,0.004193597560975609
1990,female,chinese,4,2,50-54,0.004193597560975609
1990,female,chinese,4,3.1,50-54,0.0050323170731707305
1990,female,chinese,4,4,50-54,0.013419512195121951
1990,female,chinese,4,1,55-59,0.007368532955350816
1990,female,chinese,4,2,55-59,0.007368532955350816
1990,female,chinese,4,3.1,55-59,0.008842239546420978
1990,female,chinese,4,3.2,55-59,0.01326335931963147
1990,female,chinese,4,4,55-59,0.023579305457122612
1990,female,chinese,4,1,60-64,0.01081694249315395
1990,female,chinese,4,2,60-64,0.01081694249315395
1990,female,chinese,4,3.1,60-64,0.01298033099178474
1990,female,chinese,4,3.2,60-64,0.01947049648767711
1990,female,chinese,4,1,65-69,0.01804028117842192
1990,female,chinese,4,2,65-69,0.01804028117842192
1990,female,chinese,4,3.1,65-69,0.021648337414106305
1990,female,chinese,4,3.2,65-69,0.032472506121159456
1990,female,chinese,4,4,65-69,0.05772889977095015
1990,female,chinese,4,5,65-69,0.10643765895268935
1990,female,chinese,4,1,70-74,0.02956639941019261
1990,female,chinese,4,2,70-74,0.02956639941019261
1990,female,chinese,4,3.1,70-74,0.035479679292231135
1990,female,chinese,4,3.2,70-74,0.05321951893834669
1990,female,chinese,4,4,70-74,0.09461247811261636
1990,female,chinese,4,5,70-74,0.1744417565201364
1990,female,chinese,4,1,75-79,0.04262591138530557
1990,female,chinese,4,2,75-79,0.04262591138530557
1990,female,chinese,4,3.1,75-79,0.051151093662366684
1990,female,chinese,4,3.2,75-79,0.07672664049355003
1990,female,chinese,4,4,75-79,0.13640291643297783
1990,female,chinese,4,5,75-79,0.2514928771733029
1990,female,chinese,4,1,80-84,0.07249514563106788
1990,female,chinese,4,2,80-84,0.07249514563106788
1990,female,chinese,4,3.1,80-84,0.08699417475728145
1990,female,chinese,4,3.2,80-84,0.13049126213592216
1990,female,chinese,4,4,80-84,0.2319844660194172
