ethnicity,simulation,year,prevalence,ethnicity_label
0,8,-43,5.1376762928139685,Chinese_Male
0,8,-42,5.138813703503209,Chinese_Male
0,8,-41,5.240649878768209,Chinese_Male
0,8,-40,5.476474035426,Chinese_Male
0,8,-39,5.686212242915585,Chinese_Male
0,8,-38,5.9315617440121144,Chinese_Male
0,8,-37,6.067814598620286,Chinese_Male
0,8,-36,6.280131946206547,Chinese_Male
0,8,-35,6.373950410845605,Chinese_Male
0,8,-34,6.526814835938474,Chinese_Male
0,8,-33,6.85086386602127,Chinese_Male
0,8,-32,7.004306571898742,Chinese_Male
0,8,-31,7.326064652998765,Chinese_Male
0,8,-30,7.595399258730794,Chinese_Male
0,8,-29,7.631415562913907,Chinese_Male
0,8,-28,7.628947188163574,Chinese_Male
0,8,-27,7.868464388637299,Chinese_Male
0,8,-26,8.100760521697236,Chinese_Male
0,8,-25,8.208377089538105,Chinese_Male
0,8,-24,8.490191680612826,Chinese_Male
0,8,-23,8.605485195516207,Chinese_Male
0,8,-22,8.664159353670428,Chinese_Male
0,8,-21,8.775092318731515,Chinese_Male
0,8,-20,8.850863477451204,Chinese_Male
0,8,-19,8.879455204740426,Chinese_Male
0,8,-18,8.941975879611512,Chinese_Male
0,8,-17,8.84005583193157,Chinese_Male
0,8,-16,8.868077442593426,Chinese_Male
0,8,-15,8.980080548601284,Chinese_Male
0,8,-14,8.947339560218612,Chinese_Male
0,8,-13,8.959074241279552,Chinese_Male
0,8,-12,8.97300109630786,Chinese_Male
0,8,-11,9.199130141352029,Chinese_Male
0,8,-10,9.16829023776647,Chinese_Male
0,8,-9,9.25235777304533,Chinese_Male
0,8,-8,9.500382848392036,Chinese_Male
0,8,-7,9.64322198878202,Chinese_Male
0,8,-6,9.804911190915268,Chinese_Male
0,8,-5,9.892110982749506,Chinese_Male
0,8,-4,9.91178099533191,Chinese_Male
0,8,-3,10.187924830067972,Chinese_Male
0,8,-2,10.134902817385678,Chinese_Male
0,8,-1,10.398202981417194,Chinese_Male
0,9,-61,3.345487451095201,Chinese_Male
0,9,-60,3.496811654310747,Chinese_Male
0,9,-59,3.523000887086554,Chinese_Male
0,9,-58,3.5479305807284556,Chinese_Male
0,9,-57,3.6034718158767314,Chinese_Male
0,9,-56,3.6646334170553763,Chinese_Male
0,9,-55,3.6410220247749336,Chinese_Male
0,9,-54,3.677370207068492,Chinese_Male
0,9,-53,3.839872987071898,Chinese_Male
0,9,-52,3.903026518277316,Chinese_Male
0,9,-51,3.9575925194257873,Chinese_Male
0,9,-50,3.996975261963919,Chinese_Male
0,9,-49,4.09196282353942,Chinese_Male
0,9,-48,4.20857878059673,Chinese_Male
0,9,-47,4.288384400529223,Chinese_Male
0,9,-46,4.550358965846371,Chinese_Male
0,9,-45,4.529289130523647,Chinese_Male
0,9,-44,4.669127974637827,Chinese_Male
0,9,-43,4.744597637577529,Chinese_Male
0,9,-42,5.011213363235635,Chinese_Male
0,9,-41,5.082189427060463,Chinese_Male
0,9,-40,5.351707971795308,Chinese_Male
0,9,-39,5.4452393850522105,Chinese_Male
0,9,-38,5.6342449816254545,Chinese_Male
0,9,-37,5.903127230141448,Chinese_Male
0,9,-36,5.9357668467031575,Chinese_Male
0,9,-35,6.064692450150134,Chinese_Male
0,9,-34,6.407400146149323,Chinese_Male
0,9,-33,6.6123732466522975,Chinese_Male
0,9,-32,6.850250341374601,Chinese_Male
0,9,-31,7.22172952857913,Chinese_Male
0,9,-30,7.438793088447684,Chinese_Male
0,9,-29,7.543460264900662,Chinese_Male
0,9,-28,7.586136036714844,Chinese_Male
0,9,-27,7.853025936599424,Chinese_Male
0,9,-26,8.000963556901477,Chinese_Male
0,9,-25,8.075817308519978,Chinese_Male
0,9,-24,8.302134193681958,Chinese_Male
0,9,-23,8.446092274640932,Chinese_Male
0,9,-22,8.547499651762083,Chinese_Male
0,9,-21,8.433819282801588,Chinese_Male
0,9,-20,8.6892359586093,Chinese_Male
0,9,-19,8.762713363403202,Chinese_Male
0,9,-18,8.835248496922695,Chinese_Male
0,9,-17,8.850792741848895,Chinese_Male
0,9,-16,8.785231877532643,Chinese_Male
0,9,-15,8.934726606436632,Chinese_Male
0,9,-14,8.983896616644428,Chinese_Male
0,9,-13,8.986714330464906,Chinese_Male
0,9,-12,8.997157032164557,Chinese_Male
0,9,-11,8.998537737617637,Chinese_Male
