parti,gen_thresh,diab_thresh,hyper_thresh,TP,FN,FP,TN,Total_Screened,NNS,sensitivity,specificity,Dist_to_Perfect
0.8,45,40,40,1168959,890598,843744,771374,3565877,3.0504722577951835,0.5675778820396814,0.4775960641884989,0.6781554101034915
0.8,45,45,35,1168995,890562,843786,771332,3607433,3.085926800371259,0.5675953615267749,0.47757005989655243,0.678164296973567
0.8,45,45,40,1168927,890630,843724,771394,3558493,3.044238861793765,0.5675623447178204,0.4776084471846639,0.6781557786812461
0.8,45,45,45,1168498,891059,843371,771747,3484008,2.9816122920193275,0.5673540474966219,0.4778270070669759,0.6781203099496338
0.8,50,35,35,1167328,892229,842029,773089,3461961,2.96571400668878,0.5667859641660804,0.4786579061096465,0.6778436248173252
0.8,50,40,35,1167324,892233,842028,773090,3457648,2.96202939372445,0.5667840220008478,0.47865852525945474,0.6778443898701298
0.8,50,40,40,1167256,892301,841966,773152,3408708,2.9202745584516165,0.5667510051918933,0.4786969125475662,0.6778359687193317
0.8,50,45,35,1167292,892265,842008,773110,3450264,2.9557848421817337,0.5667684846789868,0.4786709082556197,0.677844796222824
0.8,50,45,40,1167224,892333,841946,773172,3401324,2.914028498385914,0.5667354678700323,0.47870929554373115,0.6778363765351584
0.8,50,45,45,1166795,892762,841593,773525,3326839,2.8512626468231352,0.5665271706488337,0.47892785542604316,0.6778015001728809
0.8,50,50,35,1167185,892372,841907,773211,3440162,2.9474007976456176,0.5667165317590142,0.47873344238625287,0.6778299107721814
0.8,50,50,40,1167117,892440,841845,773273,3391222,2.905640137192758,0.5666835149500596,0.4787718296743643,0.6778214969717654
0.8,50,50,45,1166688,892869,841492,773626,3316737,2.842865444746153,0.5664752177288611,0.47899038955667633,0.6777866559748299
0.8,50,50,50,1165475,894082,840166,774952,3208423,2.7528887363521313,0.565886256122069,0.4798113822024149,0.6775329812709311
0.8,55,35,35,1164968,894589,839284,775834,3325296,2.85440973485967,0.5656400866788344,0.4803574723332908,0.677271652190033
0.8,55,40,35,1164964,894593,839283,775835,3320983,2.850717275383617,0.5656381445136017,0.48035809148309905,0.6772724227286049
0.8,55,40,40,1164896,894661,839221,775897,3272043,2.8088713498887454,0.5656051277046472,0.4803964787712105,0.6772641466590809
0.8,55,45,35,1164932,894625,839263,775855,3313599,2.8444570155167854,0.5656226071917407,0.48037047447926406,0.6772728867862687
0.8,55,45,40,1164864,894693,839201,775917,3264659,2.80260957502335,0.5655895903827862,0.4804088617673755,0.6772646121817304
0.8,55,45,45,1164435,895122,838848,776270,3190174,2.7396754649250497,0.5653812931615877,0.4806274216496875,0.6772306073090208
0.8,55,50,35,1164825,894732,839162,775956,3303497,2.8360457579464726,0.5655706542717681,0.48043300860989724,0.6772582335948547
0.8,55,50,40,1164757,894800,839100,776018,3254557,2.794193982092402,0.5655376374628136,0.4804713958980087,0.677249964888561
0.8,55,50,45,1164328,895229,838747,776371,3180072,2.7312509876941893,0.5653293402416151,0.4806899557803207,0.6772159954418051
0.8,55,50,50,1163115,896442,837421,777697,3071758,2.6409753119854873,0.564740378634823,0.4815109484260593,0.6769651649774912
0.8,55,55,35,1164603,894954,838959,776159,3292056,2.8267624246202354,0.5654628641013577,0.48055869602097184,0.6772309729733486
