stage,ethnicity,age_group,year,prevalence,lower,upper
K3b,chn,Overall,1994,0.49,0.45,0.54
K4,chn,Overall,1994,0.14,0.09,0.19
K5,chn,Overall,1994,0.04,0.02,0.07
K1,mal,Overall,1994,4.34,3.09,5.6
K2,mal,Overall,1994,1.52,1.38,1.66
K3a,mal,Overall,1994,0.57,0.54,0.6
K3b,mal,Overall,1994,0.48,0.45,0.52
K4,mal,Overall,1994,0.12,0.09,0.15
K5,mal,Overall,1994,0.04,0.02,0.06
K1,ind,Overall,1994,3.5,2.33,4.68
K2,ind,Overall,1994,2.81,2.25,3.37
K3a,ind,Overall,1994,1.21,1.16,1.27
K3b,ind,Overall,1994,0.59,0.54,0.64
K4,ind,Overall,1994,0.21,0.14,0.28
K5,ind,Overall,1994,0.1,0.06,0.15
K1,overall,18-30,1994,1.24,0.78,1.7
K2,overall,18-30,1994,0.1,0.07,0.14
K3a,overall,18-30,1994,0.03,0.03,0.03
K3b,overall,18-30,1994,0.0,0.0,0.0
K4,overall,18-30,1994,0.0,0.0,0.0
K5,overall,18-30,1994,0.0,0.0,0.0
K1,overall,31-40,1994,2.79,1.8,3.78
K2,overall,31-40,1994,0.36,0.28,0.43
K3a,overall,31-40,1994,0.08,0.08,0.08
K3b,overall,31-40,1994,0.0,0.0,0.0
K4,overall,31-40,1994,0.0,0.0,0.0
K5,overall,31-40,1994,0.0,0.0,0.0
K1,overall,41-50,1994,3.93,2.28,5.58
K2,overall,41-50,1994,0.81,0.58,1.03
K3a,overall,41-50,1994,0.22,0.2,0.25
K3b,overall,41-50,1994,0.03,0.03,0.04
K4,overall,41-50,1994,0.01,0.0,0.01
K5,overall,41-50,1994,0.0,0.0,0.0
K1,overall,51-60,1994,5.59,3.76,7.42
K2,overall,51-60,1994,2.48,2.09,2.87
K3a,overall,51-60,1994,1.0,0.93,1.06
K3b,overall,51-60,1994,0.37,0.28,0.47
K4,overall,51-60,1994,0.08,0.04,0.12
K5,overall,51-60,1994,0.02,0.01,0.02
K1,overall,61-70,1994,9.41,7.75,11.07
K2,overall,61-70,1994,7.71,6.83,8.59
K3a,overall,61-70,1994,3.41,3.24,3.58
K3b,overall,61-70,1994,2.04,1.74,2.33
K4,overall,61-70,1994,0.52,0.27,0.77
K5,overall,61-70,1994,0.16,0.06,0.27
K1,overall,71-80,1994,10.14,8.48,11.81
K2,overall,71-80,1994,12.95,12.02,13.87
K3a,overall,71-80,1994,6.53,6.25,6.81
K3b,overall,71-80,1994,6.21,5.93,6.49
K4,overall,71-80,1994,1.82,1.49,2.15
K5,overall,71-80,1994,0.74,0.41,1.07
K1,overall,80+,1994,14.92,12.15,17.7
K2,overall,80+,1994,16.32,14.61,18.02
K3a,overall,80+,1994,6.35,6.36,6.33
K3b,overall,80+,1994,7.06,6.71,7.41
K4,overall,80+,1994,2.2,1.55,2.85
K5,overall,80+,1994,0.81,0.58,1.05
K1,overall,Overall,1995,3.7,2.55,4.84
K2,overall,Overall,1995,1.74,1.51,1.97
K3a,overall,Overall,1995,0.73,0.7,0.76
K3b,overall,Overall,1995,0.48,0.45,0.51
K4,overall,Overall,1995,0.14,0.1,0.19
K5,overall,Overall,1995,0.05,0.03,0.08
K1,chn,Overall,1995,2.95,1.99,3.91
K2,chn,Overall,1995,1.77,1.51,2.03
K3a,chn,Overall,1995,0.83,0.8,0.85
K3b,chn,Overall,1995,0.49,0.45,0.53
K4,chn,Overall,1995,0.15,0.1,0.2
K5,chn,Overall,1995,0.05,0.02,0.08
K1,mal,Overall,1995,4.35,3.08,5.62
K2,mal,Overall,1995,1.53,1.4,1.66
K3a,mal,Overall,1995,0.58,0.56,0.61
K3b,mal,Overall,1995,0.48,0.44,0.51
K4,mal,Overall,1995,0.12,0.09,0.16
K5,mal,Overall,1995,0.04,0.02,0.06
K1,ind,Overall,1995,3.55,2.34,4.76
K2,ind,Overall,1995,2.87,2.32,3.43
K3a,ind,Overall,1995,1.25,1.18,1.31
K3b,ind,Overall,1995,0.61,0.58,0.63
K4,ind,Overall,1995,0.25,0.15,0.34
K5,ind,Overall,1995,0.13,0.07,0.18
K1,overall,18-30,1995,1.22,0.76,1.68
K2,overall,18-30,1995,0.11,0.07,0.14
K3a,overall,18-30,1995,0.03,0.03,0.03
K3b,overall,18-30,1995,0.0,0.0,0.0
K4,overall,18-30,1995,0.0,0.0,0.0
K5,overall,18-30,1995,0.0,0.0,0.0
K1,overall,31-40,1995,2.76,1.76,3.76
K2,overall,31-40,1995,0.35,0.28,0.43
K3a,overall,31-40,1995,0.08,0.08,0.08
K3b,overall,31-40,1995,0.0,0.0,0.0
K4,overall,31-40,1995,0.0,0.0,0.0
K5,overall,31-40,1995,0.0,0.0,0.0
K1,overall,41-50,1995,3.94,2.35,5.54
K2,overall,41-50,1995,0.83,0.61,1.04
K3a,overall,41-50,1995,0.23,0.2,0.26
K3b,overall,41-50,1995,0.03,0.03,0.04
